score,time,nok,nko,groupName,userId,moduleName,nsession,key,sumscore,sumtime,sumnok,sumnko,sumnsession
18.759999999999998,58,207,64,"AM 1","3134988","Les Fondamentaux Campus",1,"27/03/2018",31.639999999999997,80,292,83,2
7.279999999999999,7,36,9,"AM 1","3134988","Les Fondamentaux Campus",1,"29/03/2018",38.919999999999995,87,328,92,3
0,2,2,3,"AM 1","3134988","Les Fondamentaux Campus",1,"02/04/2018",38.919999999999995,89,330,95,4
0,3,3,2,"AM 1","3134988","Les Fondamentaux Campus",1,"03/04/2018",38.919999999999995,92,333,97,5
12.759999999999998,44,113,25,"AM 1","3134992","Les Fondamentaux Campus",1,"11/12/2017",12.759999999999998,44,113,25,1
32.379999999999995,199,328,138,"AM 1","3134992","Les Fondamentaux Campus",1,"18/12/2017",45.13999999999999,243,441,163,2
4,16,36,21,"AM 1","3134993","Les Fondamentaux Campus",1,"19/12/2017",4,16,36,21,1
56.94,102,695,192,"AM 1","3134993","Les Fondamentaux Campus",1,"23/01/2018",60.94,118,731,213,2
41.57999999999999,59,413,136,"AM 1","3134993","Pro",1,"30/01/2018",102.51999999999998,177,1144,349,3
56.31999999999998,165,1033,502,"AM 1","3134993","Pro",1,"06/02/2018",158.83999999999997,342,2177,851,4
18.16,70,489,283,"AM 1","3134993","Pont supérieur",1,"27/02/2018",176.99999999999997,412,2666,1134,5
28.119999999999994,79,479,257,"AM 1","3134993","Pont supérieur",1,"06/03/2018",205.11999999999998,491,3145,1391,6
13.76,40,176,75,"AM 1","3134997","Supérieur",1,"15/12/2017",13.76,40,176,75,1
13.82,85,173,91,"AM 1","3134997","Supérieur",1,"19/12/2017",27.58,125,349,166,2
27.460000000000004,181,508,306,"AM 1","3134997","Supérieur",1,"23/01/2018",55.040000000000006,306,857,472,3
13.28,53,231,129,"AM 1","3134997","Supérieur",1,"06/02/2018",68.32000000000001,359,1088,601,4
55.879999999999995,65,340,57,"AM 1","3135002","Supérieur",1,"11/12/2017",55.879999999999995,65,340,57,1
13.639999999999999,29,122,36,"AM 1","3135002","Supérieur",1,"15/12/2017",69.52,94,462,93,2
13.94,38,119,27,"AM 1","3135002","Supérieur",1,"09/01/2018",83.46,132,581,120,3
13.579999999999998,56,141,40,"AM 1","3135002","Supérieur",1,"16/01/2018",97.03999999999999,188,722,160,4
14.759999999999998,207,237,73,"AM 1","3135002","Supérieur",1,"23/01/2018",111.79999999999998,395,959,233,5
19.64,179,253,106,"AM 1","3135002","Supérieur",1,"06/02/2018",131.44,574,1212,339,6
6.82,55,98,54,"AM 1","3135002","Supérieur",1,"06/03/2018",138.26,629,1310,393,7
0,1,3,5,"AM 1","3135002","Orthotypographie",1,"20/03/2018",138.26,630,1313,398,8
41.64,33,141,10,"AM 1","3135034","Supérieur",1,"18/12/2017",41.64,33,141,10,1
42.56,49,195,51,"AM 1","3135034","Supérieur",1,"19/12/2017",84.2,82,336,61,2
1,0,3,1,"AM 1","3135034","Supérieur",1,"27/03/2018",85.2,82,339,62,3
0,4,3,2,"AM 1","3135041","Les Fondamentaux Campus",1,"27/03/2018",0,4,3,2,1
3.76,7,29,8,"AM 1","3135049","Les Fondamentaux Campus",1,"19/12/2017",3.76,7,29,8,1
34.080000000000005,50,207,72,"AM 1","3135049","Les Fondamentaux Campus",1,"06/03/2018",37.84,57,236,80,2
19.039999999999996,115,326,183,"AM 1","3135063","Les Fondamentaux Campus",1,"18/12/2017",19.039999999999996,115,326,183,1
2.76,43,80,79,"AM 1","3135063","Les Fondamentaux Campus",1,"27/03/2018",21.799999999999997,158,406,262,2
12.879999999999999,15,76,15,"AM 1","3135069","Les Fondamentaux Campus",1,"15/12/2017",12.879999999999999,15,76,15,1
18.88,29,118,30,"AM 1","3135069","Les Fondamentaux Campus",1,"19/12/2017",31.759999999999998,44,194,45,2
14.759999999999998,18,82,12,"AM 1","3135069","Les Fondamentaux Campus",1,"16/01/2018",46.519999999999996,62,276,57,3
2,0,2,0,"AM 1","3135069","Pro",1,"29/03/2018",48.519999999999996,62,278,57,4
19.4,83,200,58,"AM 1","3135071","Les Fondamentaux Campus",1,"23/01/2018",19.4,83,200,58,1
11.16,14,76,21,"AM 1","3135071","Les Fondamentaux Campus",1,"06/03/2018",30.56,97,276,79,2
35.040000000000006,26,156,25,"AM 1","3135071","Les Fondamentaux Campus",1,"27/03/2018",65.60000000000001,123,432,104,3
0,1,2,2,"AM 1","3135071","Pro",1,"29/03/2018",65.60000000000001,124,434,106,4
20.2,46,169,67,"AM 1","3135075","Les Fondamentaux Campus",1,"27/03/2018",20.2,46,169,67,1
45.080000000000005,74,261,85,"AM 1","3135076","Les Fondamentaux Campus",1,"18/12/2017",45.080000000000005,74,261,85,1
48.88000000000002,28,242,61,"AM 1","3135076","Pro",1,"19/12/2017",93.96000000000002,102,503,146,2
0.88,3,7,2,"AM 1","3135079","Les Fondamentaux Campus",1,"18/12/2017",0.88,3,7,2,1
37.279999999999994,48,383,154,"AM 1","3135079","Les Fondamentaux Campus",1,"27/03/2018",38.16,51,390,156,2
1,49,3,0,"AM 1","3135625","Les Fondamentaux Campus",1,"19/12/2017",1,49,3,0,1
2,4,7,5,"AM 1","3135625","Les Fondamentaux Campus",1,"27/03/2018",3,53,10,5,2
12.639999999999999,35,133,41,"AM 1","3135636","Les Fondamentaux Campus",1,"11/12/2017",12.639999999999999,35,133,41,1
6.279999999999999,16,62,34,"AM 1","3135636","Les Fondamentaux Campus",1,"23/01/2018",18.919999999999998,51,195,75,2
11.160000000000002,17,77,20,"AM 1","3135636","Les Fondamentaux Campus",1,"27/03/2018",30.08,68,272,95,3
23.499999999999996,167,273,136,"AM 1","3135643","Les Fondamentaux Campus",1,"18/12/2017",23.499999999999996,167,273,136,1
20.080000000000002,130,215,126,"AM 1","3135643","Les Fondamentaux Campus",1,"19/12/2017",43.58,297,488,262,2
4,182,40,16,"AM 1","3135646","Les Fondamentaux Campus",1,"11/12/2017",4,182,40,16,1
15.580000000000002,30,91,17,"AM 1","3135646","Les Fondamentaux Campus",1,"06/03/2018",19.580000000000002,212,131,33,2
2.64,117,57,58,"AM 1","3135646","Les Fondamentaux Campus",1,"27/03/2018",22.220000000000002,329,188,91,3
10.76,19,51,17,"AM 1","3135649","Supérieur",1,"27/03/2018",10.76,19,51,17,1
12.160000000000002,12,65,15,"AM 1","3135652","Les Fondamentaux Campus",1,"18/12/2017",12.160000000000002,12,65,15,1
6.3999999999999995,171,45,25,"AM 1","3135652","Les Fondamentaux Campus",1,"19/12/2017",18.560000000000002,183,110,40,2
41.7,79,351,79,"AM 1","3135659","Supérieur",1,"11/12/2017",41.7,79,351,79,1
13.879999999999999,169,196,61,"AM 1","3135659","Supérieur",1,"28/12/2017",55.58,248,547,140,2
13.4,9,76,23,"AM 1","3135659","Supérieur",1,"24/02/2018",68.98,257,623,163,3
22.520000000000003,59,143,64,"AM 1","3135659","Supérieur",1,"27/03/2018",91.5,316,766,227,4
26.679999999999996,20,143,30,"CI 1","3166778","Supérieur",1,"25/12/2017",26.679999999999996,20,143,30,1
26.919999999999998,14,109,17,"CI 1","3166778","Supérieur",1,"27/12/2017",53.599999999999994,34,252,47,2
7.28,30,77,40,"FED 1","3168679","Les Fondamentaux Campus",1,"21/03/2018",7.28,30,77,40,1
4.88,6,23,4,"FED 1","3168679","Les Fondamentaux Campus",1,"27/03/2018",12.16,36,100,44,2
