Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
30/10/2018;4623;2826;913;315;273;87;2390;197;443;4271;341;142;91;0;16912
31/10/2018;4249;2739;819;303;145;75;2089;234;300;3479;233;362;37;0;15064
01/11/2018;0;0;0;0;0;0;1504;0;0;0;0;0;0;0;1504
02/11/2018;3525;3189;908;0;120;82;2205;172;486;2372;121;327;0;0;13507
03/11/2018;2950;2648;406;0;0;0;1435;0;0;0;72;204;0;0;7715
04/11/2018;2264;3020;0;0;0;0;1367;0;0;0;0;0;0;0;6651
05/11/2018;4802;5372;987;815;325;799;3970;3112;0;6770;1227;314;324;0;28817
06/11/2018;4428;5620;941;718;236;973;4141;3770;0;7408;1273;416;309;0;30233
07/11/2018;4253;5486;1086;1111;190;887;4274;3543;1754;7204;1241;356;268;0;31653
08/11/2018;4207;4675;850;657;177;803;4309;3145;1612;6573;1241;140;164;0;28553
09/11/2018;3799;3543;884;610;134;443;3096;1563;1492;5026;1236;290;149;0;22265
10/11/2018;2975;3141;393;32;0;0;1849;0;713;1223;160;0;24;0;10510
11/11/2018;0;0;0;0;0;0;2204;0;0;0;0;0;0;0;2204
12/11/2018;4714;5447;852;697;229;967;3982;3218;2014;6812;1695;347;408;0;31382
13/11/2018;4474;5739;1014;609;188;995;4187;3624;1925;7490;1442;317;139;0;32143
14/11/2018;4370;5520;1030;806;168;1116;4106;3450;1866;6997;1226;235;281;0;31171
15/11/2018;4543;5130;1000;738;167;839;3964;3035;1990;6658;861;457;188;0;29570
16/11/2018;3930;3814;946;601;164;565;3192;1701;1434;4991;864;544;223;0;22969
17/11/2018;2969;3041;481;43;0;0;1679;0;583;1280;96;70;37;0;10279
18/11/2018;2009;3569;403;0;0;0;1862;0;0;0;0;0;0;0;7843
19/11/2018;4751;5559;1196;606;296;835;4136;2974;1487;7018;1300;334;398;0;30890
20/11/2018;4691;5671;1123;628;263;917;4175;3517;1890;7421;1462;376;358;0;32492
21/11/2018;4311;5213;1074;934;223;882;4024;3418;1739;7304;1458;333;365;0;31278
22/11/2018;3799;4884;1011;729;109;715;4035;2824;1902;7237;1022;312;323;0;28902
23/11/2018;4020;959;936;601;114;431;2930;1396;1492;4979;759;149;264;0;19030
24/11/2018;3061;2844;575;34;0;0;1635;0;630;1310;98;0;49;0;10236
25/11/2018;1987;3318;579;0;0;0;1892;0;0;0;0;0;0;0;7776
26/11/2018;4635;5355;1098;772;270;844;4076;3111;1558;6718;1086;182;319;0;30024
27/11/2018;4503;5631;1100;743;227;921;3948;3417;1779;7224;1528;427;361;0;31809
28/11/2018;4163;5033;1141;935;229;884;3858;3274;2049;7084;1077;191;258;0;30176
29/11/2018;4306;5115;975;739;160;848;3822;2891;1776;6996;805;281;204;0;28918
30/11/2018;4109;3977;1092;549;137;442;3401;1633;1431;5864;719;472;185;0;24011
01/12/2018;3291;3260;698;43;0;0;1891;0;1017;1440;135;0;24;0;11799
